"ID","id_sentence","sentence","question","user_answer","correct_answer","main_entity_gender","is_correct","question_category","time_fraction","batch_number","index_in_batch","mturk_id","hash_id","avg_sec_for_token"
"[187791,336203403]",545,"The cashier told the customer that they couldn't accept credit cards for a purchases under ten dollars.","who is canning?","cashier","customer","neutral",0,"filler",0.25,0,11,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336203405]",3814,"The carpenter came to the tailor because she wanted a new suit.","who came?","carpenter","carpenter","female",1,"filler",0.5,0,12,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336203439]",85,"The chief told the counselor that she could have the day off.","who was being told?","counselor","counselor","female",1,"filler",0.5,0,13,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336203471]",1442,"The editor met the mover and talked to her about relocation.","who was met?","editor","editor","female",1,"filler",0.25,0,14,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336203483]",1407,"The taxpayer met with the accountant to get help filing her taxes.","What is the gender of taxpayer?","female","female","female",1,"neutral.main.neutral-pro",0.5,0,15,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336203531]",901,"The construction worker went to a meeting with the secretary and ask her a few questions.","who asked?","construction worker","construction worker","female",1,"filler",0.5,0,16,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336203644]",3530,"Someone confided in the therapist because he was seeking emotional support.","who was being confided?","therapist","therapist","male",1,"filler",0.25,0,17,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336203718]",1854,"The construction worker waved the housekeeper into the room to get her answers.","What is the gender of housekeeper?","female","unknown","female",0,"pro-stereotype.other.anti-pro",0.75,0,18,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336203726]",1273,"Someone ordered a chocolate cake from the baker even though she was on a low-carb diet.","What is the gender of baker?","unknown","unknown","female",1,"pro-stereotype.other.neutral-pro",0.5,0,19,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336203732]",3829,"The instructor encouraged the student to pursue her dreams.","What is the gender of student?","female","female","female",1,"neutral.main.neutral-pro",0.25,0,20,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336203733]",1769,"The manager talked to the auditor and told her to stay late.","who talked?","manager","manager","female",1,"filler",0.25,0,21,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336203764]",2965,"The salesperson talked to the receptionist and convinced her to buy the insurance.","who was being convinced?","receptionist","receptionist","female",1,"filler",0.5,0,22,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336203767]",3300,"The pathologist obtained tissue samples from someone to look at under his microscope.","What is the gender of someone?","unknown","unknown","male",1,"neutral.other.anti-neutral",0.25,0,23,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336203789]",2220,"The cashier told someone that she couldn't use a credit card for a purchase under ten dollars.","What is the gender of cashier?","unknown","unknown","female",1,"pro-stereotype.other.neutral-pro",0.5,0,24,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336203793]",2534,"The farmer demanded the auditor leave the farm because she was trespassing.","who was being trespassed?","farmer","auditor","female",0,"filler",0.75,0,25,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336203827]",508,"The salesperson tried to fool the writer but he was caught.","who was being fooled?","writer","writer","male",1,"filler",0.75,0,26,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336203828]",1168,"The laborer told the baker that she needed a cake by tomorrow.","who was being told?","baker","baker","female",1,"filler",0.25,0,27,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336203835]",63,"The counselor advised the janitor and provided her with useful resources.","What is the gender of janitor?","unknown","female","female",0,"anti-stereotype.main.anti-pro",0.5,0,28,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336203836]",63,"The counselor advised the janitor and provided her with useful resources.","What is the gender of janitor?","unknown","female","female",0,"anti-stereotype.main.anti-pro",0.5,0,28,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336203847]",2289,"The lawyer represented the housekeeper and helped him win the case.","What is the gender of housekeeper?","male","male","male",1,"anti-stereotype.main.anti-pro",0.75,0,29,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336203941]",1609,"The lawyer was retained by the writer and then he received legal assistance.","What is the gender of lawyer?","unknown","unknown","male",1,"pro-stereotype.other.anti-pro",0.75,0,30,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336203984]",1081,"The mover hired the accountant because he wanted to balance his finances.","who was being hired?","accountant","accountant","male",1,"filler",0.5,0,31,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336203993]",2804,"The analyst gave the assistant some documents and asked him to do the scanning.","What is the gender of assistant?","male","male","male",1,"anti-stereotype.main.anti-pro",0.5,0,32,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336203994]",100,"Someone asked the inspector if the house she had purchased was structurally sound.","who was being asked?","inspector","inspector","female",1,"filler",0.5,0,33,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336204040]",1166,"The analyst asked the secretary to book a flight because she knows how to do it.","who is booking?","secretary","secretary","female",1,"filler",0.25,0,34,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336204197]",1863,"The visitor asked the receptionist if she needed to sign in.","What is the gender of receptionist?","unknown","unknown","female",1,"pro-stereotype.other.neutral-pro",0.25,0,35,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336204211]",2137,"The physician owed the cashier money and refused to pay her back.","who wasn't being paid?","cashier","cashier","female",1,"filler",0.25,0,36,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336204242]",1048,"The sheriff questioned the housekeeper as he claimed to know the thief.","What is the gender of housekeeper?","male","male","male",1,"anti-stereotype.main.anti-pro",0.75,0,37,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336204253]",642,"The analyst awkwardly ran into the attendant who had messed up her order.","who was messed up?","attendant","attendant","female",1,"filler",0.5,0,38,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336204255]",3086,"The examiner inspected the body of the victim to determine a cause of death, but was unable to because she was too incompetent.","What is the gender of victim?","unknown","unknown","female",1,"neutral.other.neutral-neutral",0.25,0,39,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336204256]",684,"The librarian stared at the CEO and asked her to leave.","What is the gender of CEO?","female","female","female",1,"anti-stereotype.main.anti-pro",0.5,0,40,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336204276]",2283,"The firefighter had to rescue the child from the burning building because she could not escape.","who isn't being escaped?","child","child","female",1,"filler",0.75,0,41,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336204311]",569,"The doctor told someone that he would be at risk without the vaccination.","What is the gender of doctor?","unknown","unknown","male",1,"pro-stereotype.other.neutral-pro",0.75,0,42,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336204312]",1293,"The doctor told the patient that she would be on vacation next week.","What is the gender of doctor?","female","female","female",1,"anti-stereotype.main.anti-neutral",0.75,0,43,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336204313]",1783,"The counselor walked towards the cook and thanked him for providing the dinner.","who was thanked?","cook","counselor","male",0,"filler",0.25,0,44,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336204315]",2947,"The laborer dug a hole for the assistant because she is weak.","who dug?","laborer","laborer","female",1,"filler",0.25,0,45,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336204369]",2329,"The chemist told the visitor that she would be delighted to give a tour of the laboratory.","What is the gender of chemist?","female","female","female",1,"anti-stereotype.main.anti-neutral",0.5,0,46,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336204422]",2664,"The farmer knows the editor because she is really famous.","What is the gender of editor?","female","female","female",1,"pro-stereotype.main.pro-anti",0.5,0,47,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336204488]",145,"Someone asked the salesperson if she could explain the pricing of each product.","What is the gender of salesperson?","female","female","female",1,"anti-stereotype.main.anti-neutral",0.5,0,48,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336204489]",145,"Someone asked the salesperson if she could explain the pricing of each product.","What is the gender of salesperson?","female","female","female",1,"anti-stereotype.main.anti-neutral",0.5,0,48,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336204493]",975,"The farmer enjoyed getting a haircut from the hairdresser because she did not have to speak.","What is the gender of farmer?","female","female","female",1,"anti-stereotype.main.anti-pro",0.75,0,49,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336204662]",310,"The writer wrote the janitor a poem and handed him a bill.","who was being written?","janitor","janitor","male",1,"filler",0.75,0,50,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336204713]",2479,"The construction worker scheduled an appointment with the counselor and asked him for advice.","What is the gender of construction worker?","unknown","unknown","male",1,"pro-stereotype.other.anti-pro",0.5,0,51,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336204714]",3670,"The worker told the pedestrian that she was repairing the sidewalk as quickly as possible.","What is the gender of pedestrian?","unknown","unknown","female",1,"neutral.other.neutral-neutral",0.5,0,52,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336204715]",3517,"The supervisor was worried about a visit from the auditor because he is a very strict person.","What is the gender of supervisor?","unknown","unknown","male",1,"pro-stereotype.other.anti-pro",0.5,0,53,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336204716]",468,"The hairdresser was clumsy around the physician and nearly cut him.","who was being cut?","physician","physician","male",1,"filler",0.25,0,54,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336204779]",2478,"The carpenter hired the cleaner because her house was a mess.","who hired?","cleaner","carpenter","female",0,"filler",0.75,0,55,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336204795]",2406,"The clerk asked the analyst some questions and sent him away.","who was being asked?","analyst","analyst","male",1,"filler",0.25,0,56,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336204796]",565,"The broker called the client because she had new stocks to recommend.","What is the gender of broker?","female","female","female",1,"anti-stereotype.main.anti-neutral",0.25,0,57,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336204797]",3246,"The physician warned the patient that he needed to get more rest.","What is the gender of physician?","unknown","unknown","male",1,"pro-stereotype.other.neutral-pro",0.5,0,58,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336204829]",1778,"The hairdresser outran the mover and laughed at her.","who was laughing?","hairdresser","mover","female",0,"filler",0.75,0,59,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336204957]",3647,"The CEO was worried that the teacher liked to ignore students and called her.","who was called?","teacher","teacher","female",1,"filler",0.5,0,60,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336205017]",3878,"The construction worker stared at the teacher and asked him to leave.","who was being stared at?","teacher","teacher","male",1,"filler",0.5,0,61,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336205020]",2558,"The planner spoke with the resident who said that her entire community did not want an aiport nearby.","who spoke?","resident","planner","female",0,"filler",0.5,0,62,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336205023]",1771,"The physician called the assistant and asked him for help.","What is the gender of physician?","unknown","unknown","male",1,"pro-stereotype.other.anti-pro",0.5,0,63,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336205047]",3175,"The salesperson talked to the teacher and invited him to dinner.","who was being invited?","teacher","teacher","male",1,"filler",0.75,0,64,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336205111]",639,"The cleaner called the guard because he forgot to bring his key.","What is the gender of guard?","unknown","unknown","male",1,"pro-stereotype.other.anti-pro",0.5,0,65,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336205115]",3608,"The supervisor gave the housekeeper a ride because he lives far away.","What is the gender of supervisor?","unknown","unknown","male",1,"pro-stereotype.other.anti-pro",0.25,0,66,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336205117]",31,"The clerk needed to satisfy the CEO and produced a report for him.","who was being satisfied?","CEO","CEO","male",1,"filler",0.25,0,67,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336205119]",480,"The manager offered a raise the housekeeper and she gladly accepted it.","who accepted?","housekeeper","housekeeper","female",1,"filler",0.75,0,68,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336205120]",2387,"The undergraduate applied to work with the scientist because she needed a lab assistant.","What is the gender of scientist?","female","female","female",1,"anti-stereotype.main.anti-neutral",0.25,0,69,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336205121]",2387,"The undergraduate applied to work with the scientist because she needed a lab assistant.","What is the gender of scientist?","female","female","female",1,"anti-stereotype.main.anti-neutral",0.25,0,69,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336205153]",1396,"The veterinarian informed the owner that he could admit Mittens for an emergency visit.","who was being informed?","owner","owner","male",1,"filler",0.75,0,70,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336205159]",667,"The manager fired the cleaner because he is too lazy.","who fired?","cleaner","manager","male",0,"filler",0.75,0,71,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336205162]",1637,"Someone called 911 and spoke to the dispatcher who said she was sending help.","What is the gender of dispatcher?","female","female","female",1,"neutral.main.neutral-neutral",0.5,0,72,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336205238]",2663,"The salesperson smiled at the nurse and thanked him for buying the insurance.","who was being thanked?","nurse","salesperson","male",0,"filler",0.5,0,73,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336205407]",2983,"The mover is waiting for the nurse because she broke her arm.","who is being waited for?","nurse","nurse","female",1,"filler",0.25,0,74,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336205435]",1317,"The laborer was surprised that the auditor appeared because he did not expect an audit.","who didn't expect?","auditor","laborer","male",0,"filler",0.25,0,75,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336205441]",3161,"The analyst asked the counselor about her hourly rate.","who was being asked?","counselor","counselor","female",1,"filler",0.25,0,76,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336205443]",2272,"The analyst employed the housekeeper because he could not stand housework.","who was being employed?","analyst","housekeeper","male",0,"filler",0.25,0,77,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336205444]",2409,"The undergraduate applied to work with the scientist because he needed more experience in the lab.","What is the gender of scientist?","unknown","unknown","male",1,"pro-stereotype.other.neutral-pro",0.25,0,78,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336205445]",3457,"The manager fired the cleaner because she is too lazy.","What is the gender of manager?","unknown","unknown","female",1,"anti-stereotype.other.pro-anti",0.25,0,79,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336205480]",1822,"The nutritionist explained to someone that cutting down on sugar would be an effective way to improve her diet.","What is the gender of nutritionist?","unknown","unknown","female",1,"pro-stereotype.other.neutral-pro",0.5,0,80,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336205484]",3735,"The mover hit the tailor because he stood in the path.","What is the gender of mover?","unknown","unknown","male",1,"pro-stereotype.other.anti-pro",0.25,0,81,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336205487]",2491,"The janitor cleaned the office of the counselor because she requested it.","What is the gender of janitor?","unknown","unknown","female",1,"anti-stereotype.other.pro-anti",0.75,0,82,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336205490]",3053,"The hairdresser recommended a new shampoo to someone because he wanted to be helpful.","What is the gender of hairdresser?","male","male","male",1,"anti-stereotype.main.anti-neutral",0.75,0,83,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336205529]",150,"The mover offered the receptionist a hand and moved her desk.","who was being offered?","receptionist","receptionist","female",1,"filler",0.75,0,84,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336205531]",2184,"The developer could not understand the accountant because she only knows how to code.","What is the gender of developer?","unknown","female","female",0,"anti-stereotype.main.anti-pro",0.75,0,85,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336205532]",492,"The librarian loved to share books with the cook but stopped when she started stealing.","What is the gender of cook?","unknown","female","female",0,"anti-stereotype.main.anti-pro",0.25,0,86,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336205535]",1735,"The dietitian encouraged the client to eat three square meals a day because he was not getting enough to eat.","What is the gender of dietitian?","unknown","unknown","male",1,"anti-stereotype.other.neutral-anti",0.75,0,87,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336205629]",1286,"The chief waited for the cleaner and asked her for a better service.","who was being waited for?","cleaner","cleaner","female",1,"filler",0.5,0,88,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336205645]",3286,"The employee gave the supervisor feedback on her managing style.","What is the gender of supervisor?","female","female","female",1,"anti-stereotype.main.anti-neutral",0.5,0,89,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336205646]",217,"Someone set up a meeting with the architect to explore his career options.","What is the gender of architect?","male","unknown","male",0,"pro-stereotype.other.neutral-pro",0.25,0,90,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336205647]",1141,"The instructor encouraged someone to pursue her dreams.","What is the gender of someone?","female","female","female",1,"neutral.main.neutral-pro",0.75,0,91,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336205789]",1384,"The mechanic yelled at the accountant because he gets angry easily.","What is the gender of mechanic?","male","male","male",1,"pro-stereotype.main.pro-anti",0.75,0,92,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336205966]",1097,"The psychologist told someone to fill out a questionnaire so she could be quickly assessed.","who should be assessed?","someone","someone","female",1,"filler",0.5,0,93,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336205988]",2460,"The investigator wanted to interview someone in person, but she was unreachable.","who was being interviewed?","someone","someone","female",1,"filler",0.5,0,94,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336205990]",683,"The nutritionist explained to someone that cutting down on sugar would be an effective way to improve his diet.","who is being cut out?","someone","someone","male",1,"filler",0.25,0,95,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336205995]",1509,"The accountant walked towards the developer and gave her a cup of coffee.","who walked?","accountant","accountant","female",1,"filler",0.75,0,96,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336206026]",1340,"The assistant was fired by the supervisor and called her a jerk.","who was being fired?","assistant","assistant","female",1,"filler",0.75,0,97,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336206038]",1839,"The construction worker offered to build the tailor a house and then hugged him.","What is the gender of construction worker?","unknown","unknown","male",1,"pro-stereotype.other.anti-pro",0.5,0,98,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336206040]",788,"The receptionist stole the pen from the guard and tricked her.","who tricked?","guard","receptionist","female",0,"filler",0.5,0,99,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336206041]",2790,"The housekeeper showed the janitor the direction because she has been there for twenty years.","who showed?","janitor","housekeeper","female",0,"filler",0.75,0,100,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336206044]",2923,"The mechanic hired the assistant and gave him an orientation.","What is the gender of assistant?","unknown","male","male",0,"anti-stereotype.main.anti-pro",0.25,0,101,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336206080]",839,"The physician warned the patient that he could not safely prescribe a higher dose.","What is the gender of physician?","unknown","male","male",0,"pro-stereotype.main.pro-neutral",0.25,0,102,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336206083]",2164,"The guard passed the box to the baker and appreciated her baking skills.","who appreciated?","unknown","guard","female",0,"filler",0.25,0,103,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336206087]",2044,"The officer arrested the protester even though he was not on duty.","who arrested?","protester","officer","male",0,"filler",0.5,0,104,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336206088]",2044,"The officer arrested the protester even though he was not on duty.","who arrested?","protester","officer","male",0,"filler",0.5,0,104,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336206092]",843,"The guard cared about the teacher and so protected him.","What is the gender of guard?","unknown","unknown","male",1,"pro-stereotype.other.anti-pro",0.75,0,105,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336206145]",1550,"The baker sold bread to the CEO and enjoyed his visits.","who enjoyed?","baker","baker","male",1,"filler",0.5,0,106,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336206214]",270,"Someone applied to work with the scientist because he needed a lab assistant.","What is the gender of scientist?","male","male","male",1,"pro-stereotype.main.pro-neutral",0.5,0,107,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336206273]",3843,"The nurse heard the farmer screaming and examined her.","who was being screamed?","nurse","farmer","female",0,"filler",0.25,0,108,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336206473]",2459,"The patient was referred to the specialist because they had knowledge of rare skin conditions.","who was being referred?","patient","patient","neutral",1,"filler",0.75,0,109,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336206694]",2667,"The bystander called 911 and spoke to the dispatcher who said she should wait for help in a safe location.","who was called?","dispatcher","bystander","female",0,"filler",0.5,0,110,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336206780]",3787,"Someone was referred to the specialist because he had knowledge of rare skin conditions.","What is the gender of Someone?","unknown","unknown","male",1,"neutral.other.neutral-neutral",0.75,0,111,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336206817]",1052,"The tailor met the analyst at home and offered him a new design.","who met?","analyst","tailor","male",0,"filler",0.75,0,112,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336206849]",76,"The janitor stopped the nurse because she needed to check everyone's identity.","who was checking?","nurse","janitor","female",0,"filler",0.25,0,113,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336206856]",2022,"The cleaner met the physician and asked her about medical care.","who was met?","physician","physician","female",1,"filler",0.5,0,114,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336206868]",2508,"The tailor talked with the supervisor and was impressed by her hard work.","who was being impressed?","tailor","tailor","female",1,"filler",0.5,0,115,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336206900]",1914,"The auditor asked the taxpayer to provide records for him to scrutinize.","What is the gender of auditor?","male","male","male",1,"anti-stereotype.main.anti-neutral",0.25,0,116,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336206965]",1674,"The student asked the teacher if she could get an extension on the assignment.","What is the gender of teacher?","unknown","unknown","female",1,"pro-stereotype.other.neutral-pro",0.25,0,117,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336206988]",2861,"The attendant told the developer there was a meeting and provided her the location.","What is the gender of attendant?","female","unknown","female",0,"pro-stereotype.other.anti-pro",0.25,0,118,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336207015]",777,"The practitioner made a house call for someone because he felt a sense of obligation.","who felt?","practitioner","practitioner","male",1,"filler",0.75,0,119,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336207065]",3428,"The supervisor asked the baker to prepare cakes because she is famous for them.","who is preparing?","baker","baker","female",1,"filler",0.75,0,120,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336207447]",1981,"The undergraduate presented the administrator with a petition that he had been unaware of.","What is the gender of undergraduate?","unknown","unknown","male",1,"neutral.other.anti-neutral",0.75,0,121,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336208618]",3024,"The carpenter told someone that she needed to stand at least thirty feet from the building site.","What is the gender of carpenter?","unknown","unknown","female",1,"anti-stereotype.other.neutral-anti",0.5,0,122,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336209693]",3441,"The clerk provided someone with paperwork to return to him upon completion.","What is the gender of clerk?","male","male","male",1,"anti-stereotype.main.anti-neutral",0.5,0,123,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336210468]",3040,"The investigator wanted to interview the witness in person, but he was unreachable.","What is the gender of investigator?","unknown","unknown","male",1,"pro-stereotype.other.neutral-pro",0.25,0,124,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336211380]",1748,"The analyst needed to get the housekeeper into the house and paid him to do so.","What is the gender of housekeeper?","male","male","male",1,"anti-stereotype.main.anti-pro",0.25,0,125,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336212189]",1491,"The guard tried to be friends with the accountant and bought him a calculator.","who was being bought?","accountant","accountant","male",1,"filler",0.25,0,126,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336213583]",1945,"The cook respects the baker because he knows how to recognize a good baker.","who is being respected?","baker","baker","male",1,"filler",0.75,0,127,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336215235]",3848,"The psychologist told the patient to fill out a questionnaire so she could make a preliminary assessment.","What is the gender of patient?","unknown","unknown","female",1,"neutral.other.pro-neutral",0.75,0,128,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336216309]",2244,"The construction worker called the editor and told her the whole story.","who was being called?","editor","editor","female",1,"filler",0.5,0,129,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336217700]",851,"The farmer demanded more bread from the baker because she raised the prices unfairly.","who demanded?","farmer","farmer","female",1,"filler",0.75,0,130,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336218865]",1101,"The cleaner knocked at the mechanic 's door and waited for her to show up.","who knocked?","cleaner","cleaner","female",1,"filler",0.5,0,131,"A2880Y23V0UITQ",3814930679520307,1.164
"[187791,336219654]",396,"The janitor fell in love with the secretary because of his nice hands.","What is the gender of janitor?","female","unknown","male",0,"pro-stereotype.other.anti-pro",0.25,0,132,"A2880Y23V0UITQ",3814930679520307,1.164
