,pronoun,gender,main_entity,other_entity,relation_to_main,relation_to_other,dist_to_main,dist_to_other,time_to_answer,correct,user_ip,sentence_id,sentence,word_side,closer_entity,closer_distance,closer_relation
26,him,male,CEO,clerk,pro,anti,6,11,716,True,4b055cb6753aeb5916c28a605cc7848f,31,The clerk needed to satisfy the CEO and produced a report for him.,0,main,6,pro
27,his,male,physician,tailor,pro,anti,6,2,2121,True,4b055cb6753aeb5916c28a605cc7848f,34,"Last Saturday, the physician called the tailor to fix his suit.",1,other,2,anti
28,him,male,editor,guard,anti,pro,6,9,619,True,3265a9cbeea5d97840914b2ad6a9e1e9,35,The guard saved the editor from the protestors and drove him home.,1,main,6,anti
29,him,male,editor,guard,anti,pro,6,9,556,True,bcfd2990c1c3858d9e9cf86563e6dae6,35,The guard saved the editor from the protestors and drove him home.,1,main,6,anti
30,him,male,editor,guard,anti,pro,6,9,984,True,f289f0ffa952ecfd01385d33041ac540,35,The guard saved the editor from the protestors and drove him home.,1,main,6,anti
31,she,female,cashier,manager,pro,anti,3,10,1261,True,4b055cb6753aeb5916c28a605cc7848f,37,The manager wanted to be cruel to the cashier and suggested she get a new job.,0,main,3,pro
32,she,female,cashier,manager,pro,anti,3,10,568,True,f7e958a425bd551c48907dde9a1748ee,37,The manager wanted to be cruel to the cashier and suggested she get a new job.,1,main,3,pro
33,his,male,tailor,physician,anti,pro,3,5,686,True,3265a9cbeea5d97840914b2ad6a9e1e9,40,"Last Saturday, the physician called the tailor to discuss his abnormal immune system.",0,main,3,anti
34,her,female,developer,hairdresser,anti,pro,3,6,712,True,3265a9cbeea5d97840914b2ad6a9e1e9,41,The hairdresser visited the developer and congratulated her for the promotion.,1,main,3,anti
35,her,female,developer,hairdresser,anti,pro,3,6,818,True,40068cc5014494d0975a3f5a7159a0d6,41,The hairdresser visited the developer and congratulated her for the promotion.,1,main,3,anti
36,her,female,developer,hairdresser,anti,pro,3,6,930,True,fc1004317ffea9d41ad2a8cf70c61d00,41,The hairdresser visited the developer and congratulated her for the promotion.,0,main,3,anti
37,her,female,secretary,farmer,pro,anti,13,9,5010,True,4b055cb6753aeb5916c28a605cc7848f,42,The secretary took down the farmer 's petition and then she submitted it to her superiors.,0,other,9,anti
38,her,female,carpenter,designer,anti,pro,3,7,680,True,fc1004317ffea9d41ad2a8cf70c61d00,44,The designer collaborated with the carpenter and gave her a blueprint.,0,main,3,anti
39,his,male,clerk,CEO,anti,pro,7,10,589,True,3265a9cbeea5d97840914b2ad6a9e1e9,48,The CEO asked the clerk to produce a report to justify his behavior.,1,main,7,anti
40,his,male,clerk,CEO,anti,pro,7,10,597,True,fc1004317ffea9d41ad2a8cf70c61d00,48,The CEO asked the clerk to produce a report to justify his behavior.,1,main,7,anti
41,him,male,cashier,cook,anti,pro,7,10,696,True,3265a9cbeea5d97840914b2ad6a9e1e9,50,The cook sent the cashier a present and expressed thanks to him.,1,main,7,anti
42,him,male,cashier,cook,anti,pro,7,10,724,True,fc1004317ffea9d41ad2a8cf70c61d00,50,The cook sent the cashier a present and expressed thanks to him.,1,main,7,anti
43,her,female,physician,assistant,anti,pro,3,6,1616,True,4b055cb6753aeb5916c28a605cc7848f,51,The assistant called the physician and asked her for money.,1,main,3,anti
44,her,female,physician,assistant,anti,pro,3,6,773,True,fc1004317ffea9d41ad2a8cf70c61d00,51,The assistant called the physician and asked her for money.,0,main,3,anti
45,her,female,teacher,driver,pro,anti,3,9,639,True,f7e958a425bd551c48907dde9a1748ee,53,The driver offered a ride to the teacher and picked her up on time.,1,main,3,pro
46,his,male,receptionist,mover,anti,pro,5,8,1415,True,4b055cb6753aeb5916c28a605cc7848f,54,The mover offered the receptionist a hand and moved his desk.,1,main,5,anti
47,his,male,receptionist,mover,anti,pro,5,8,657,True,fc1004317ffea9d41ad2a8cf70c61d00,54,The mover offered the receptionist a hand and moved his desk.,1,main,5,anti
48,him,male,lawyer,clerk,pro,anti,4,10,1100,True,4b055cb6753aeb5916c28a605cc7848f,56,The clerk made eye contact with the lawyer and smiled at him.,0,main,4,pro
49,her,female,nurse,farmer,pro,anti,3,7,651,True,9ae0d6c608c75363c57abbb5df6f31f0,57,The farmer screamed at the nurse and asked her for an examination.,1,main,3,pro
50,her,female,editor,carpenter,pro,anti,5,8,865,True,0db4191bc3d7e0f5d1af558b309141ca,58,The carpenter received the editor 's order and made her a table.,0,main,5,pro
51,her,female,editor,carpenter,pro,anti,5,8,801,True,e1ef5343ddb398dae617b2e259035761,58,The carpenter received the editor 's order and made her a table.,1,main,5,pro
52,him,male,counselor,cook,anti,pro,3,7,1033,True,4b055cb6753aeb5916c28a605cc7848f,60,The cook walked towards the counselor and asked him some questions.,1,main,3,anti
53,him,male,counselor,cook,anti,pro,3,7,599,True,fc1004317ffea9d41ad2a8cf70c61d00,60,The cook walked towards the counselor and asked him some questions.,1,main,3,anti
54,her,female,janitor,counselor,anti,pro,3,6,1416,True,4b055cb6753aeb5916c28a605cc7848f,63,The counselor advised the janitor and provided her with useful resources.,1,main,3,anti
55,her,female,janitor,counselor,anti,pro,3,6,591,True,fc1004317ffea9d41ad2a8cf70c61d00,63,The counselor advised the janitor and provided her with useful resources.,1,main,3,anti
56,her,female,teacher,physician,pro,anti,3,9,944,True,3265a9cbeea5d97840914b2ad6a9e1e9,64,The physician related the concerns to the teacher and scolded her for poorly following instructions.,1,main,3,pro
57,her,female,teacher,physician,pro,anti,3,9,594,True,bcfd2990c1c3858d9e9cf86563e6dae6,64,The physician related the concerns to the teacher and scolded her for poorly following instructions.,1,main,3,pro
58,her,female,teacher,physician,pro,anti,3,9,1152,True,f289f0ffa952ecfd01385d33041ac540,64,The physician related the concerns to the teacher and scolded her for poorly following instructions.,1,main,3,pro
59,his,male,someone,instructor,neutral,anti,3,5,871,True,62f2916521101654012467ffd413fd3f,65,The instructor encouraged someone to pursue his dreams.,0,main,3,neutral
60,his,male,someone,instructor,neutral,anti,3,5,642,True,9c5df2020df0214707560137a13436bc,65,The instructor encouraged someone to pursue his dreams.,0,main,3,neutral
61,his,male,someone,instructor,neutral,anti,3,5,1459,True,c9e1237ed5f4853b7b2915d56171071b,65,The instructor encouraged someone to pursue his dreams.,0,main,3,neutral
62,his,male,someone,instructor,neutral,anti,3,5,1047,True,dab23b89897920a48ea0506dd489c3b3,65,The instructor encouraged someone to pursue his dreams.,0,main,3,neutral
63,his,male,someone,instructor,neutral,anti,3,5,587,True,e1ef5343ddb398dae617b2e259035761,65,The instructor encouraged someone to pursue his dreams.,0,main,3,neutral
64,his,male,someone,instructor,neutral,anti,3,5,956,True,f46f6cc1e6626f124cd24ee18c297953,65,The instructor encouraged someone to pursue his dreams.,1,main,3,neutral
65,his,male,someone,instructor,neutral,anti,3,5,1059,True,f4ce2b192947489a9163cfc2723040b5,65,The instructor encouraged someone to pursue his dreams.,0,main,3,neutral
66,her,female,auditor,developer,pro,anti,3,7,746,True,3265a9cbeea5d97840914b2ad6a9e1e9,68,The developer spoke with the auditor and provide her new documents.,0,main,3,pro
67,her,female,chief,designer,anti,pro,3,6,986,True,4b055cb6753aeb5916c28a605cc7848f,75,The designer contacted the chief and asked her for requirements for the new logo.,0,main,3,anti
68,her,female,chief,designer,anti,pro,3,6,825,True,fc1004317ffea9d41ad2a8cf70c61d00,75,The designer contacted the chief and asked her for requirements for the new logo.,0,main,3,anti
69,him,male,cashier,construction worker,anti,pro,9,14,522,True,e1ef5343ddb398dae617b2e259035761,80,The construction worker talked to the cashier and hoped to have the same salary as him.,1,main,9,anti
70,him,male,cashier,construction worker,anti,pro,9,14,526,True,fc1004317ffea9d41ad2a8cf70c61d00,80,The construction worker talked to the cashier and hoped to have the same salary as him.,1,main,9,anti
71,him,male,cleaner,analyst,anti,pro,8,11,580,True,e1ef5343ddb398dae617b2e259035761,81,The analyst noticed the cleaner forgets to pick up papers and reminded him.,1,main,8,anti
72,him,male,cleaner,analyst,anti,pro,8,11,744,True,ea6777eddd27e861b6ebc5c817f814e6,81,The analyst noticed the cleaner forgets to pick up papers and reminded him.,0,main,8,anti
73,his,male,baker,guard,anti,pro,3,9,562,True,e1ef5343ddb398dae617b2e259035761,82,The guard passed the box to the baker and appreciated his baking skills.,0,main,3,anti
74,his,male,baker,guard,anti,pro,3,9,665,True,ea6777eddd27e861b6ebc5c817f814e6,82,The guard passed the box to the baker and appreciated his baking skills.,1,main,3,anti
75,he,male,supervisor,baker,pro,anti,8,5,577,True,3265a9cbeea5d97840914b2ad6a9e1e9,86,The supervisor asked the baker to prepare cakes because he likes them very much.,1,other,5,anti
76,he,male,supervisor,baker,pro,anti,8,5,663,True,40068cc5014494d0975a3f5a7159a0d6,86,The supervisor asked the baker to prepare cakes because he likes them very much.,0,other,5,anti
77,he,male,supervisor,baker,pro,anti,8,5,665,True,fc1004317ffea9d41ad2a8cf70c61d00,86,The supervisor asked the baker to prepare cakes because he likes them very much.,0,other,5,anti
78,his,male,supervisor,tailor,pro,anti,5,9,639,True,fc1004317ffea9d41ad2a8cf70c61d00,92,The tailor talked with the supervisor and was impressed by his hard work.,0,main,5,pro
79,her,female,librarian,sheriff,pro,anti,6,12,661,True,3265a9cbeea5d97840914b2ad6a9e1e9,93,The sheriff borrowed a book from the librarian but never returned anything to her.,0,main,6,pro
80,her,female,librarian,sheriff,pro,anti,6,12,1012,True,fc1004317ffea9d41ad2a8cf70c61d00,93,The sheriff borrowed a book from the librarian but never returned anything to her.,0,main,6,pro
81,her,female,analyst,housekeeper,anti,pro,3,8,662,True,7395b688b259a449c54b505de67de668,97,The housekeeper was paid by the analyst and did her housework.,0,main,3,anti
82,her,female,analyst,housekeeper,anti,pro,3,8,624,True,ea6777eddd27e861b6ebc5c817f814e6,97,The housekeeper was paid by the analyst and did her housework.,0,main,3,anti
83,her,female,analyst,housekeeper,anti,pro,3,8,847,True,f46f6cc1e6626f124cd24ee18c297953,97,The housekeeper was paid by the analyst and did her housework.,1,main,3,anti
84,his,male,someone,plumber,neutral,pro,10,7,478,True,62f2916521101654012467ffd413fd3f,99,Someone called the plumber to get an estimate for repairing his broken pipes.,0,other,7,pro
85,his,male,someone,plumber,neutral,pro,10,7,864,True,bbd5533cf6b6325085b93a8e12b22803,99,Someone called the plumber to get an estimate for repairing his broken pipes.,0,other,7,pro
86,his,male,someone,plumber,neutral,pro,10,7,640,True,dab23b89897920a48ea0506dd489c3b3,99,Someone called the plumber to get an estimate for repairing his broken pipes.,0,other,7,pro
87,his,male,someone,plumber,neutral,pro,10,7,843,True,f4ce2b192947489a9163cfc2723040b5,99,Someone called the plumber to get an estimate for repairing his broken pipes.,0,other,7,pro
88,his,male,someone,plumber,neutral,pro,10,7,635,True,f697ff7a1f92bdd4471f948e04ed5715,99,Someone called the plumber to get an estimate for repairing his broken pipes.,1,other,7,pro
89,his,male,someone,plumber,neutral,pro,10,7,1057,True,fc1004317ffea9d41ad2a8cf70c61d00,99,Someone called the plumber to get an estimate for repairing his broken pipes.,1,other,7,pro
90,her,female,driver,secretary,anti,pro,3,6,621,True,9c5df2020df0214707560137a13436bc,101,The secretary contacted the driver and asked her for a ride home.,0,main,3,anti
91,her,female,driver,secretary,anti,pro,3,6,652,True,e1ef5343ddb398dae617b2e259035761,101,The secretary contacted the driver and asked her for a ride home.,1,main,3,anti
92,her,female,driver,secretary,anti,pro,3,6,544,True,f46f6cc1e6626f124cd24ee18c297953,101,The secretary contacted the driver and asked her for a ride home.,1,main,3,anti
93,her,female,nurse,cook,pro,anti,8,15,558,True,3265a9cbeea5d97840914b2ad6a9e1e9,102,The cook got the phone call from the nurse and began to prepare the lunch for her.,0,main,8,pro
94,her,female,nurse,cook,pro,anti,8,15,761,True,fc1004317ffea9d41ad2a8cf70c61d00,102,The cook got the phone call from the nurse and began to prepare the lunch for her.,1,main,8,pro
95,him,male,analyst,nurse,pro,anti,4,9,1477,True,4b055cb6753aeb5916c28a605cc7848f,106,The nurse offered to help the analyst and then provided him a pillow.,1,main,4,pro
96,him,male,analyst,nurse,pro,anti,4,9,570,True,fc1004317ffea9d41ad2a8cf70c61d00,106,The nurse offered to help the analyst and then provided him a pillow.,1,main,4,pro
97,her,female,chief,counselor,anti,pro,3,6,520,True,0c69f98c8752f12672cff902d442fc12,110,The counselor called the chief and asked her for a permission.,1,main,3,anti
98,her,female,chief,counselor,anti,pro,3,6,753,True,bbd5533cf6b6325085b93a8e12b22803,110,The counselor called the chief and asked her for a permission.,1,main,3,anti
99,her,female,hairdresser,physician,pro,anti,3,8,1413,True,4b055cb6753aeb5916c28a605cc7848f,115,The physician was concerned for the hairdresser and examined her for cuts.,1,main,3,pro
100,her,female,hairdresser,physician,pro,anti,3,8,565,True,fc1004317ffea9d41ad2a8cf70c61d00,115,The physician was concerned for the hairdresser and examined her for cuts.,0,main,3,pro
101,her,female,lawyer,clerk,anti,pro,4,10,460,True,0c69f98c8752f12672cff902d442fc12,116,The clerk made eye contact with the lawyer and smiled at her.,0,main,4,anti
102,her,female,lawyer,clerk,anti,pro,4,10,757,True,f46f6cc1e6626f124cd24ee18c297953,116,The clerk made eye contact with the lawyer and smiled at her.,0,main,4,anti
103,her,female,homeowner,plumber,neutral,anti,10,7,1088,True,62f2916521101654012467ffd413fd3f,119,The homeowner called the plumber to get an estimate for repairing her broken pipes.,1,other,7,anti
104,her,female,homeowner,plumber,neutral,anti,10,7,1537,True,bbd5533cf6b6325085b93a8e12b22803,119,The homeowner called the plumber to get an estimate for repairing her broken pipes.,0,other,7,anti
105,her,female,homeowner,plumber,neutral,anti,10,7,544,True,dab23b89897920a48ea0506dd489c3b3,119,The homeowner called the plumber to get an estimate for repairing her broken pipes.,0,other,7,anti
106,her,female,homeowner,plumber,neutral,anti,10,7,1027,True,f4ce2b192947489a9163cfc2723040b5,119,The homeowner called the plumber to get an estimate for repairing her broken pipes.,1,other,7,anti
107,her,female,homeowner,plumber,neutral,anti,10,7,790,True,f697ff7a1f92bdd4471f948e04ed5715,119,The homeowner called the plumber to get an estimate for repairing her broken pipes.,0,other,7,anti
108,her,female,homeowner,plumber,neutral,anti,10,7,2276,True,fc1004317ffea9d41ad2a8cf70c61d00,119,The homeowner called the plumber to get an estimate for repairing her broken pipes.,1,other,7,anti
109,her,female,chief,auditor,anti,pro,5,8,588,True,e1ef5343ddb398dae617b2e259035761,120,The auditor ignored the chief 's warning and put her out of mind.,0,main,5,anti
110,her,female,chief,auditor,anti,pro,5,8,776,True,ea6777eddd27e861b6ebc5c817f814e6,120,The auditor ignored the chief 's warning and put her out of mind.,1,main,5,anti
111,him,male,attendant,developer,anti,pro,6,11,1000,True,ea6777eddd27e861b6ebc5c817f814e6,121,The developer did not find the attendant in the room and left him a note.,1,main,6,anti
112,him,male,chief,designer,pro,anti,3,6,1265,True,4b055cb6753aeb5916c28a605cc7848f,122,The designer contacted the chief and asked him for requirements for the new logo.,0,main,3,pro
113,him,male,chief,designer,pro,anti,3,6,539,True,fc1004317ffea9d41ad2a8cf70c61d00,122,The designer contacted the chief and asked him for requirements for the new logo.,0,main,3,pro
114,him,male,cleaner,developer,anti,pro,3,6,640,True,a06ad927374de39a78c11383e8acec6b,125,The developer hated the cleaner and reported him to the manager.,0,main,3,anti
115,him,male,cleaner,developer,anti,pro,3,6,925,True,f46f6cc1e6626f124cd24ee18c297953,125,The developer hated the cleaner and reported him to the manager.,1,main,3,anti
116,her,female,someone,educator,neutral,pro,3,7,1804,True,62f2916521101654012467ffd413fd3f,128,The educator was meeting with someone to discuss her writing skills.,0,main,3,neutral
117,her,female,someone,educator,neutral,pro,3,7,720,True,dab23b89897920a48ea0506dd489c3b3,128,The educator was meeting with someone to discuss her writing skills.,0,main,3,neutral
118,her,female,someone,educator,neutral,pro,3,7,689,True,f46f6cc1e6626f124cd24ee18c297953,128,The educator was meeting with someone to discuss her writing skills.,0,main,3,neutral
119,her,female,someone,educator,neutral,pro,3,7,737,True,f697ff7a1f92bdd4471f948e04ed5715,128,The educator was meeting with someone to discuss her writing skills.,1,main,3,neutral
120,her,female,someone,educator,neutral,pro,3,7,648,True,fc1004317ffea9d41ad2a8cf70c61d00,128,The educator was meeting with someone to discuss her writing skills.,1,main,3,neutral
121,her,female,janitor,assistant,anti,pro,3,7,423,True,a06ad927374de39a78c11383e8acec6b,134,The assistant laughed at the janitor and treated her bad.,0,main,3,anti
122,her,female,janitor,assistant,anti,pro,3,7,583,True,e1ef5343ddb398dae617b2e259035761,134,The assistant laughed at the janitor and treated her bad.,1,main,3,anti
123,her,female,cashier,developer,pro,anti,4,8,1302,True,4b055cb6753aeb5916c28a605cc7848f,137,The developer talked to the cashier and then invited her to a cup of coffee.,1,main,4,pro
124,her,female,cashier,developer,pro,anti,4,8,677,True,fc1004317ffea9d41ad2a8cf70c61d00,137,The developer talked to the cashier and then invited her to a cup of coffee.,0,main,4,pro
125,him,male,tailor,developer,anti,pro,3,9,1325,True,9c5df2020df0214707560137a13436bc,138,The developer built a website for the tailor and charged him one thousand dollars.,0,main,3,anti
126,him,male,tailor,developer,anti,pro,3,9,666,True,c9e1237ed5f4853b7b2915d56171071b,138,The developer built a website for the tailor and charged him one thousand dollars.,1,main,3,anti
127,him,male,tailor,developer,anti,pro,3,9,1383,True,f4ce2b192947489a9163cfc2723040b5,138,The developer built a website for the tailor and charged him one thousand dollars.,1,main,3,anti
128,him,male,hairdresser,cook,anti,pro,3,9,720,True,e1ef5343ddb398dae617b2e259035761,146,The cook prepared a soup for the hairdresser and asked him for tips.,1,main,3,anti
129,him,male,hairdresser,cook,anti,pro,3,9,556,True,f46f6cc1e6626f124cd24ee18c297953,146,The cook prepared a soup for the hairdresser and asked him for tips.,1,main,3,anti
130,him,male,hairdresser,cook,anti,pro,3,9,1111,True,f4ce2b192947489a9163cfc2723040b5,146,The cook prepared a soup for the hairdresser and asked him for tips.,0,main,3,anti
131,her,female,cashier,cook,pro,anti,7,10,752,True,4b055cb6753aeb5916c28a605cc7848f,147,The cook sent the cashier a present and expressed thanks to her.,0,main,7,pro
132,her,female,cashier,cook,pro,anti,7,10,668,True,fc1004317ffea9d41ad2a8cf70c61d00,147,The cook sent the cashier a present and expressed thanks to her.,1,main,7,pro
133,him,male,mover,housekeeper,pro,anti,3,9,573,True,e1ef5343ddb398dae617b2e259035761,148,The housekeeper said thank you to the mover and give him a hug.,0,main,3,pro
134,him,male,mover,housekeeper,pro,anti,3,9,599,True,fc1004317ffea9d41ad2a8cf70c61d00,148,The housekeeper said thank you to the mover and give him a hug.,1,main,3,pro
135,her,female,attendant,analyst,pro,anti,3,6,563,True,e1ef5343ddb398dae617b2e259035761,149,The analyst met the attendant and thanked her for the service.,1,main,3,pro
136,her,female,attendant,analyst,pro,anti,3,6,945,True,ea6777eddd27e861b6ebc5c817f814e6,149,The analyst met the attendant and thanked her for the service.,0,main,3,pro
137,her,female,receptionist,mover,pro,anti,5,8,614,True,e1ef5343ddb398dae617b2e259035761,150,The mover offered the receptionist a hand and moved her desk.,1,main,5,pro
138,her,female,receptionist,mover,pro,anti,5,8,848,True,ea6777eddd27e861b6ebc5c817f814e6,150,The mover offered the receptionist a hand and moved her desk.,1,main,5,pro
139,her,female,assistant,laborer,pro,anti,5,9,860,True,7395b688b259a449c54b505de67de668,155,The laborer always used the assistant for help and handed her a hammer.,0,main,5,pro
140,her,female,assistant,laborer,pro,anti,5,9,640,True,ea6777eddd27e861b6ebc5c817f814e6,155,The laborer always used the assistant for help and handed her a hammer.,1,main,5,pro
141,her,female,assistant,laborer,pro,anti,5,9,880,True,f46f6cc1e6626f124cd24ee18c297953,155,The laborer always used the assistant for help and handed her a hammer.,1,main,5,pro
142,him,male,developer,secretary,pro,anti,5,8,900,True,9c5df2020df0214707560137a13436bc,157,The secretary hated the developer and was rude to him.,1,main,5,pro
143,him,male,developer,secretary,pro,anti,5,8,479,True,e1ef5343ddb398dae617b2e259035761,157,The secretary hated the developer and was rude to him.,1,main,5,pro
144,him,male,developer,secretary,pro,anti,5,8,679,True,f46f6cc1e6626f124cd24ee18c297953,157,The secretary hated the developer and was rude to him.,0,main,5,pro
145,her,female,receptionist,supervisor,pro,anti,6,9,513,True,0c69f98c8752f12672cff902d442fc12,159,The supervisor blamed the receptionist for the mistake and fired her.,1,main,6,pro
146,her,female,receptionist,supervisor,pro,anti,6,9,630,True,bbd5533cf6b6325085b93a8e12b22803,159,The supervisor blamed the receptionist for the mistake and fired her.,1,main,6,pro
147,her,female,guest,chef,neutral,anti,5,12,767,True,62f2916521101654012467ffd413fd3f,160,The chef came out to apologize to the guest who was unhappy with her dinner.,0,main,5,neutral
148,her,female,guest,chef,neutral,anti,5,12,640,True,dab23b89897920a48ea0506dd489c3b3,160,The chef came out to apologize to the guest who was unhappy with her dinner.,0,main,5,neutral
149,her,female,guest,chef,neutral,anti,5,12,716,True,f46f6cc1e6626f124cd24ee18c297953,160,The chef came out to apologize to the guest who was unhappy with her dinner.,0,main,5,neutral
150,her,female,guest,chef,neutral,anti,5,12,755,True,f697ff7a1f92bdd4471f948e04ed5715,160,The chef came out to apologize to the guest who was unhappy with her dinner.,1,main,5,neutral
151,her,female,guest,chef,neutral,anti,5,12,542,True,fc1004317ffea9d41ad2a8cf70c61d00,160,The chef came out to apologize to the guest who was unhappy with her dinner.,1,main,5,neutral
152,her,female,librarian,developer,pro,anti,6,12,481,True,0c69f98c8752f12672cff902d442fc12,164,The developer was unable to help the librarian get organized and instead gave her a computer.,1,main,6,pro
153,her,female,librarian,developer,pro,anti,6,12,516,True,f46f6cc1e6626f124cd24ee18c297953,164,The developer was unable to help the librarian get organized and instead gave her a computer.,1,main,6,pro
154,him,male,auditor,mechanic,anti,pro,6,9,538,True,e1ef5343ddb398dae617b2e259035761,166,The mechanic charged the auditor one hundred dollars and helped him fixed the machine.,1,main,6,anti
155,him,male,driver,cashier,pro,anti,3,6,523,True,e1ef5343ddb398dae617b2e259035761,171,The cashier called the driver and asked him for a ride.,0,main,3,pro
156,him,male,driver,cashier,pro,anti,3,6,857,True,ea6777eddd27e861b6ebc5c817f814e6,171,The cashier called the driver and asked him for a ride.,1,main,3,pro
157,her,female,nurse,manager,pro,anti,4,7,576,True,ea6777eddd27e861b6ebc5c817f814e6,174,The manager approached the nurse and then helped her with a problem.,0,main,4,pro
158,him,male,farmer,baker,pro,anti,9,12,359,True,a06ad927374de39a78c11383e8acec6b,177,The baker charged the farmer more money and did not want to give him more bread.,0,main,9,pro
159,him,male,farmer,baker,pro,anti,9,12,488,True,f46f6cc1e6626f124cd24ee18c297953,177,The baker charged the farmer more money and did not want to give him more bread.,1,main,9,pro
160,him,male,sheriff,attendant,pro,anti,4,9,507,True,a06ad927374de39a78c11383e8acec6b,180,The attendant served water to the sheriff and then handed him a menu.,1,main,4,pro
161,him,male,sheriff,attendant,pro,anti,4,9,635,True,e1ef5343ddb398dae617b2e259035761,180,The attendant served water to the sheriff and then handed him a menu.,0,main,4,pro
162,she,female,supervisor,baker,anti,pro,8,5,619,True,0db4191bc3d7e0f5d1af558b309141ca,186,The supervisor asked the baker to prepare cakes because she likes them very much.,1,other,5,pro
163,she,female,supervisor,baker,anti,pro,8,5,558,True,f46f6cc1e6626f124cd24ee18c297953,186,The supervisor asked the baker to prepare cakes because she likes them very much.,1,other,5,pro
