,pronoun,gender,main_entity,relation_to_main,dist_to_main,time_to_answer,correct,user_ip,sentence_id,sentence,word_side
50,his,his,director,pro,22,654.0,True,13448750d650cfb712f004d9bd1ebbc8,750,"A former director of the Illinois Department of Financial Institutions, Fryzel served on the Illinois Governor's Board of Credit Union Advisors from 1992 until his NCUA appointment.",1.0
51,his,his,director,pro,22,553.0,True,6b5cb0ec884eec6372eac653fc4f1d8e,750,"A former director of the Illinois Department of Financial Institutions, Fryzel served on the Illinois Governor's Board of Credit Union Advisors from 1992 until his NCUA appointment.",0.0
52,his,his,director,pro,22,599.0,True,d648d0b729c06f20aaa219368992a9d1,750,"A former director of the Illinois Department of Financial Institutions, Fryzel served on the Illinois Governor's Board of Credit Union Advisors from 1992 until his NCUA appointment.",1.0
53,his,his,director,pro,-8,538.0,True,ea8afb9686e38991393dbb16e6da7735,873,"He received his first acting opportunity in 2013 through film director Ram, who is widely known for his films including ``Kattradhu Thamizh`` and ``Thanga Meengal``.",0.0
54,his,his,director,pro,7,587.0,True,035bdfe202e3fd359e6a8ba379e88dd4,879,"Almost simultaneously, the club announced that sporting director Thomas Linke had been released from his position, having been employed for only 10 weeks, from February 2011.",0.0
55,his,his,director,pro,7,558.0,True,6b5cb0ec884eec6372eac653fc4f1d8e,879,"Almost simultaneously, the club announced that sporting director Thomas Linke had been released from his position, having been employed for only 10 weeks, from February 2011.",1.0
56,his,his,director,pro,7,504.0,True,f3276b3d2021fd87259810574797f8b4,879,"Almost simultaneously, the club announced that sporting director Thomas Linke had been released from his position, having been employed for only 10 weeks, from February 2011.",1.0
57,his,his,director,pro,15,805.0,True,035bdfe202e3fd359e6a8ba379e88dd4,899,"Amongst all this a new Director, Derek Pestridge, was appointed and a legal charge over the ground was established in his favour against an interest-free A,AGBP 500,000 loan made to the club company.",0.0
58,his,his,director,pro,15,599.0,True,4540c7b3bd418364af0e884d9c4ecd15,899,"Amongst all this a new Director, Derek Pestridge, was appointed and a legal charge over the ground was established in his favour against an interest-free A,AGBP 500,000 loan made to the club company.",0.0
59,he,he,guard,pro,2,589.0,True,6b5cb0ec884eec6372eac653fc4f1d8e,910,"Ignoring Bert, Shivers sends a party clown to Lynn's house to distract the guard, who he beheads, spotting Heston nearby as he does so.",0.0
60,he,he,guard,pro,2,532.0,True,d648d0b729c06f20aaa219368992a9d1,910,"Ignoring Bert, Shivers sends a party clown to Lynn's house to distract the guard, who he beheads, spotting Heston nearby as he does so.",1.0
61,he,he,director,pro,13,463.0,True,035bdfe202e3fd359e6a8ba379e88dd4,914,"Little was appointed director of public affairs at the Central Intelligence Agency in October 2010, where he served as the CIA's chief media spokesman, provided strategic counsel to the director and his senior leadership team, coordinated internal communications to CIA employees in the United States and abroad, and managed communications and outreach to the American public.",0.0
62,he,he,director,pro,4,549.0,True,6b5cb0ec884eec6372eac653fc4f1d8e,917,"In 1970, Bracq was appointed design director of BMW, where he was responsible for the top-of-the-line 7-Series.",1.0
63,he,he,director,pro,4,564.0,True,89bb397c8dd69b78571f586522288335,917,"In 1970, Bracq was appointed design director of BMW, where he was responsible for the top-of-the-line 7-Series.",0.0
64,he,he,director,pro,-4,649.0,True,035bdfe202e3fd359e6a8ba379e88dd4,919,"In 1820 he was appointed the director of the Dresden natural history museum and a professor at the Surgical-Medical Academy in Dresden, where he remained till 1862.",1.0
65,he,he,judge,pro,3,527.0,True,035bdfe202e3fd359e6a8ba379e88dd4,1001,The judge stated that he would never let Higazy be registered as a Christian.,0.0
66,he,he,judge,pro,3,444.0,True,6b5cb0ec884eec6372eac653fc4f1d8e,1001,The judge stated that he would never let Higazy be registered as a Christian.,1.0
67,his,his,guitarist,pro,17,450.0,True,6b5cb0ec884eec6372eac653fc4f1d8e,1080,"The band's guitarist, Doug Hopkins, was fired near the conclusion of the recording sessions for the album, ostensibly for his persistent alcohol problems.",0.0
68,his,his,guitarist,pro,17,776.0,True,6dfde7afac417f804bbee5fe91ac27cd,1080,"The band's guitarist, Doug Hopkins, was fired near the conclusion of the recording sessions for the album, ostensibly for his persistent alcohol problems.",1.0
69,himself,himself,director,pro,1,503.0,True,6b5cb0ec884eec6372eac653fc4f1d8e,1163,The film was premiered for free by the director himself via YouTube in April 2020 for the people who were staying at home during lockdown due to the coronavirus pandemic in the country.,1.0
70,himself,himself,director,pro,1,893.0,True,6dfde7afac417f804bbee5fe91ac27cd,1176,"The film, produced under Gowri Productions, has musical score composed by Susarla Dakshinamurthi, with lyrics written by the director himself.",0.0
71,he,he,director,pro,21,522.0,True,6b5cb0ec884eec6372eac653fc4f1d8e,1212,"The Director initially believes them to be mad, but as they begin to argue among themselves and reveal details of their story, he begins to listen.",1.0
72,he,he,director,pro,21,1200.0,True,d00696adf8dd1f96878d06dbb74a3b48,1212,"The Director initially believes them to be mad, but as they begin to argue among themselves and reveal details of their story, he begins to listen.",0.0
73,he,he,director,pro,9,1311.0,True,6dfde7afac417f804bbee5fe91ac27cd,1221,"Despite the mixed reviews, Nolan was thoroughly impressed by Snyder's work, saying that the director ``knocked it out of the park``, and that he believed the film would have the same potential to excite audiences as when he himself saw the Christopher Reeve version in 1978.",0.0
74,his,his,director,pro,6,583.0,True,6dfde7afac417f804bbee5fe91ac27cd,1318,The director also hosted a screening-party via his own Instagram account.,1.0
75,his,his,director,pro,7,485.0,True,89bb397c8dd69b78571f586522288335,1319,The director is back at the top of his game.,1.0
76,his,his,director,pro,7,1241.0,True,d00696adf8dd1f96878d06dbb74a3b48,1319,The director is back at the top of his game.,0.0
77,his,his,director,pro,7,136.0,True,d5ed945569c2671ea9af478c01f933ae,1319,The director is back at the top of his game.,0.0
78,his,his,director,pro,6,463.0,True,6dfde7afac417f804bbee5fe91ac27cd,1325,The Director initially uses Weapon X as his personal strike force to exact revenge against Wolverine.,1.0
79,he,he,judge,pro,6,716.0,True,89bb397c8dd69b78571f586522288335,1375,"When the judge asked' expert opinion' to expert, he is an expert.",0.0
80,his,his,guitarist,pro,5,1024.0,True,9962e8a878efc4bd41a392780885f015,1430,Steve Cropper saw Sunsetz guitarist Keni Inoue play in his distinctive plucking style (as heard on ``Open Sesame``) and asked to be taught the technique.,1.0
81,his,his,director,pro,8,547.0,True,89bb397c8dd69b78571f586522288335,1438,Film director William Wellman cast Coonan as Sally in his 1933 film ``Wild Boys of the Road``.,0.0
82,his,his,director,pro,8,648.0,True,d00696adf8dd1f96878d06dbb74a3b48,1438,Film director William Wellman cast Coonan as Sally in his 1933 film ``Wild Boys of the Road``.,1.0
83,his,his,writer-director,pro,5,912.0,True,9962e8a878efc4bd41a392780885f015,1454,Writer-director John Waters stated in his book ``Shock Value``.,0.0
84,his,his,director,pro,6,905.0,True,9962e8a878efc4bd41a392780885f015,1464,"Having seen him on stage, film director Vimukthi Jayasundara cast Thusitha in his film ``Ahasin Watei``.",0.0
85,he,he,director,pro,10,595.0,True,89bb397c8dd69b78571f586522288335,1495,"A noted director, Aravindan, was famous in Kerala as a cartoonist before he started making films.",1.0
86,he,he,director,pro,10,1285.0,True,d00696adf8dd1f96878d06dbb74a3b48,1495,"A noted director, Aravindan, was famous in Kerala as a cartoonist before he started making films.",0.0
87,him,him,director,pro,15,617.0,True,9962e8a878efc4bd41a392780885f015,1602,"On October 20, the director of the NKVD in Spain, Alexander Orlov, received a ciphered telegram from Stalin, ordering him to organize the shipment of the gold to the USSR, and he agreed on the preparations with NegrAfA n.",0.0
88,his,his,guard,pro,-4,469.0,True,035bdfe202e3fd359e6a8ba379e88dd4,1662,"During his initial recapture, a guard broke his rifle striking Izac and was court martialed for destruction of military property, after the war Izac sought damages from a claims commission and was awarded $ 27,000 for the incident.",1.0
89,his,his,guard,pro,-4,886.0,True,89bb397c8dd69b78571f586522288335,1662,"During his initial recapture, a guard broke his rifle striking Izac and was court martialed for destruction of military property, after the war Izac sought damages from a claims commission and was awarded $ 27,000 for the incident.",1.0
90,his,his,guard,pro,-4,481.0,True,9962e8a878efc4bd41a392780885f015,1662,"During his initial recapture, a guard broke his rifle striking Izac and was court martialed for destruction of military property, after the war Izac sought damages from a claims commission and was awarded $ 27,000 for the incident.",0.0
91,his,his,judge,pro,3,784.0,True,89bb397c8dd69b78571f586522288335,1690,"In fall 2005, the judge was driving his wife and daughter to the airport for a vacation when he came across an assailant attacking a cab driver on the side of the road.",1.0
92,his,his,judge,pro,3,1360.0,True,d00696adf8dd1f96878d06dbb74a3b48,1690,"In fall 2005, the judge was driving his wife and daughter to the airport for a vacation when he came across an assailant attacking a cab driver on the side of the road.",1.0
93,himself,himself,president,pro,1,757.0,True,c17d279da49e709638f42e292543b334,15,Among them was the president himself.,0.0
94,his,his,architect,pro,9,750.0,True,6fcb4dcbc1410bc056b5762f047c4f29,186,"He held the post of architect to the City of London from 1843 until his death, and is probably best remembered for his design for the Coal Exchange.",1.0
95,himself,himself,president,pro,4,664.0,True,c17d279da49e709638f42e292543b334,206,"The president was angry with himself and his advisers, him for being pressured into a hasty decision and his advisers for their dishonesty.",1.0
96,his,his,priest,pro,2,844.0,True,48ae7ac422e782d05407dc797ce71979,263,"Thereupon, the priest made his first notation on his book of information.",0.0
97,his,his,priest,pro,2,665.0,True,6fcb4dcbc1410bc056b5762f047c4f29,263,"Thereupon, the priest made his first notation on his book of information.",1.0
98,his,his,priest,pro,2,598.0,True,95867c05e9a72894b14350a3404bdf78,263,"Thereupon, the priest made his first notation on his book of information.",1.0
99,his,his,priest,pro,2,735.0,True,9798f23885a95a3a4f0050fa74246a80,263,"Thereupon, the priest made his first notation on his book of information.",1.0
100,his,his,priest,pro,2,643.0,True,c17d279da49e709638f42e292543b334,263,"Thereupon, the priest made his first notation on his book of information.",1.0
101,his,his,priest,pro,2,809.0,True,ea6777eddd27e861b6ebc5c817f814e6,263,"Thereupon, the priest made his first notation on his book of information.",0.0
102,his,his,president,pro,2,962.0,True,89bb397c8dd69b78571f586522288335,267,"Snowdon's supporters moved to gain control of the NT branch at the 1987 party conference, ousting both Reeves as party president and his ally Collins as delegate to the party's National Executive.",1.0
103,his,his,president,pro,6,486.0,True,ea6777eddd27e861b6ebc5c817f814e6,283,"Every year, the president of the United States offers his State of the Union address.",1.0
104,his,his,president,pro,3,754.0,True,5a7bf0314d9c129731caa613db8bc98d,322,"The president jotted down his thoughts on the napkin during a Rose Garden meeting with U.S. Army Air Corps General Hap Arnold, who took the napkin back to the Pentagon where it remained classified for many years.",1.0
105,his,his,president,pro,3,696.0,True,e2b31134ddce117fca635cc6d8b14b03,322,"The president jotted down his thoughts on the napkin during a Rose Garden meeting with U.S. Army Air Corps General Hap Arnold, who took the napkin back to the Pentagon where it remained classified for many years.",1.0
106,his,his,president,pro,3,512.0,True,ea6777eddd27e861b6ebc5c817f814e6,322,"The president jotted down his thoughts on the napkin during a Rose Garden meeting with U.S. Army Air Corps General Hap Arnold, who took the napkin back to the Pentagon where it remained classified for many years.",0.0
107,his,his,president,pro,4,616.0,True,ea6777eddd27e861b6ebc5c817f814e6,330,"Iran's new president, Mahmoud Ahmadinejad, installed his new government.",0.0
108,himself,himself,president,pro,5,863.0,True,ea6777eddd27e861b6ebc5c817f814e6,337,"The son of Jerry Dias, Sr., a worker at de Havilland's facilities in Downsview who led the plant's United Auto Workers local from 1967 to 1978, Dias pursued studies at York University before dropping out and taking a job at the plant, and later became president of the union local himself in 1987.",1.0
109,he,he,president,pro,2,645.0,True,1f7aac2f3a4d09db353aaadba0f57ee0,367,"The highly unpopular Truman was handily defeated by Kefauver, 18 days later the president announced he would not seek a second full term.",1.0
110,he,he,president,pro,2,625.0,True,ea6777eddd27e861b6ebc5c817f814e6,367,"The highly unpopular Truman was handily defeated by Kefauver, 18 days later the president announced he would not seek a second full term.",0.0
111,his,his,president,pro,2,858.0,True,95867c05e9a72894b14350a3404bdf78,382,"The radicals, while suspicious of the new president and his policies, believed, based upon his record, that Andrew Johnson would defer, or at least acquiesce to their hardline proposals.",1.0
112,his,his,president,pro,2,809.0,True,ea6777eddd27e861b6ebc5c817f814e6,382,"The radicals, while suspicious of the new president and his policies, believed, based upon his record, that Andrew Johnson would defer, or at least acquiesce to their hardline proposals.",1.0
113,his,his,president,pro,3,633.0,True,1f7aac2f3a4d09db353aaadba0f57ee0,388,The results would be enormous when the president came into his hard times.,0.0
114,his,his,president,pro,3,565.0,True,95867c05e9a72894b14350a3404bdf78,388,The results would be enormous when the president came into his hard times.,1.0
115,his,his,president,pro,2,733.0,True,035bdfe202e3fd359e6a8ba379e88dd4,393,The end of the Scarborough MS states that it was certified at Scarborough on 10 July 1705 and is signed by the president and his officers.,0.0
116,his,his,president,pro,2,702.0,True,6b5cb0ec884eec6372eac653fc4f1d8e,393,The end of the Scarborough MS states that it was certified at Scarborough on 10 July 1705 and is signed by the president and his officers.,0.0
117,his,his,president,pro,2,1217.0,True,d36520462f0b578647dee8534591e6b2,393,The end of the Scarborough MS states that it was certified at Scarborough on 10 July 1705 and is signed by the president and his officers.,0.0
118,his,his,president,pro,2,783.0,True,ea6777eddd27e861b6ebc5c817f814e6,393,The end of the Scarborough MS states that it was certified at Scarborough on 10 July 1705 and is signed by the president and his officers.,1.0
119,his,his,architect,pro,5,605.0,True,1f7aac2f3a4d09db353aaadba0f57ee0,408,"The architect has been described by his biographer Doris Hulse, as ``talented, cultured, eccentric, flamboyant, practical, difficult, opinionated, generous, temperamental, considerate, gentleman farmer, man-about-town``, and a number of his works are widely known today.",0.0
120,his,his,president,pro,5,864.0,True,ea6777eddd27e861b6ebc5c817f814e6,460,"The president may also effectively withhold his assent as per his own discretion, which is known as pocket veto.",1.0
121,his,his,president,pro,2,687.0,True,1f7aac2f3a4d09db353aaadba0f57ee0,465,"At a political retreat in 2003, Tumukunde, in the presence of the president and his cabinet, argued against the impending removal of term limits that would give President Museveni the right to stand for re-election on an infinite basis.",1.0
122,his,his,president,pro,2,616.0,True,68268f845d45a6fc9ee741e7032fec93,465,"At a political retreat in 2003, Tumukunde, in the presence of the president and his cabinet, argued against the impending removal of term limits that would give President Museveni the right to stand for re-election on an infinite basis.",0.0
123,his,his,president,pro,2,762.0,True,6b5cb0ec884eec6372eac653fc4f1d8e,480,"In 2006, NBR created the Kenneth B. and Anne H.H. Pyle Center for Northeast Asian Studies, named in honor of NBR founding president and his wife.",1.0
124,his,his,president,pro,2,518.0,True,c17d279da49e709638f42e292543b334,480,"In 2006, NBR created the Kenneth B. and Anne H.H. Pyle Center for Northeast Asian Studies, named in honor of NBR founding president and his wife.",0.0
125,his,his,president,pro,2,1566.0,True,d00696adf8dd1f96878d06dbb74a3b48,480,"In 2006, NBR created the Kenneth B. and Anne H.H. Pyle Center for Northeast Asian Studies, named in honor of NBR founding president and his wife.",1.0
126,he,he,president,pro,8,689.0,True,d00696adf8dd1f96878d06dbb74a3b48,487,"The president, Paul Benthien, agreed on the condition that he also became general manager.",1.0
127,he,he,president,pro,8,867.0,True,d648d0b729c06f20aaa219368992a9d1,487,"The president, Paul Benthien, agreed on the condition that he also became general manager.",0.0
128,he,he,priest,pro,3,533.0,True,f3276b3d2021fd87259810574797f8b4,495,"The priest believes that he can straighten him out, but Takezo escapes with Otsu's help.",0.0
129,his,his,architect,pro,-10,540.0,True,d648d0b729c06f20aaa219368992a9d1,507,"OA... aEUR(th)wiA,,a,,ccim, on the estate of his maternal grandparents, the youngest of three children of Warsaw architect, ZdzisA... aEURsaw Silewicz and his wife Stefania nAfA e Zwilling.",0.0
130,his,his,president,pro,6,626.0,True,d648d0b729c06f20aaa219368992a9d1,520,"Mr. Whitney was chosen its president, and continued in office until his death, in 1883.",1.0
131,his,his,priest,pro,6,596.0,True,ea8afb9686e38991393dbb16e6da7735,575,"Vaux was particularly devoted to Father Henry Garnet, a Jesuit priest who was later executed for his role in the Gunpowder Plot.",1.0
132,his,his,priest,pro,3,653.0,True,c17d279da49e709638f42e292543b334,613,"The high priest then laid his hands with the labels upon the two goats and said, ``A sin-offering to Yahweh`` (thus speaking the Tetragrammaton), and the two men accompanying him replied, ``Blessed be the name of His glorious kingdom for ever and ever.",1.0
133,his,his,priest,pro,3,532.0,True,f3276b3d2021fd87259810574797f8b4,613,"The high priest then laid his hands with the labels upon the two goats and said, ``A sin-offering to Yahweh`` (thus speaking the Tetragrammaton), and the two men accompanying him replied, ``Blessed be the name of His glorious kingdom for ever and ever.",0.0
134,his,his,priest,pro,18,674.0,True,4540c7b3bd418364af0e884d9c4ecd15,614,"When the priest Fragios Papadakis, was slaughtered in 1823 by the Ottomans during the Greek War of Independence, Emmanouil and his younger brothers Antonios Papadakis and Andreas were captured by the Ottoman forces under Hassan Pasha who seized the plateau and were sold as slaves.",0.0
135,his,his,priest,pro,2,598.0,True,6b5cb0ec884eec6372eac653fc4f1d8e,635,This figure of Baker was ordered by Ulrich to honor the priest for his several contributions to the Our Lady of Victory Institutions.,0.0
136,his,his,priest,pro,2,418.0,True,d648d0b729c06f20aaa219368992a9d1,635,This figure of Baker was ordered by Ulrich to honor the priest for his several contributions to the Our Lady of Victory Institutions.,0.0
